0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
99999805,99999535,99999835,100000903.41144095,100000015,99999535,99999775,100000749.38430727,99999685,100000960,99999158.84603848,99999731.84603848,99999910.65022379,99999980.84603848,100000053.15022379,99999940.65022379,99999933.75859442,99999274.65022379,100000030.65022379,99999815.84603848,99999926.19581468,99999926.19581468,99999926.19581468,99999926.19581468,99999926.19581468,99999926.19581468,99999926.19581468,99999927.69581468,99999926.19581468,99999926.19581468,99999835,99999850,99999835,99999805,99999790,99999790,99999805,99999835,99999790,99999835,100000058.80418532,100000057.30418532,100000073.80418532,100000058.80418532,100000073.80418532,100000000,100000073.80418532,100000088.80418532,100000085.80418532,100000088.80418532,100000405,100002216.86868344,100001538.81717688,99997804.0,100003138.20632741,99999659.0702552,99999508.76606989,99999558.20576625,99999289.46188457,100000159.71840617
99999614.72404833,99999661.79917723,99999790,99999730,99999955,100000030,99999805,99999790,99999670,100000180,100000140.91139038,100000127.99883653,100000135.49148431,100000111.24574216,100000110.91139038,100000132.24574216,100000199.24427399,100000133.99148431,100000160.75132151,100000099.24574216,100000000,99999997.0,99999997.0,99999983.5,99999982.0,99999998.5,99999998.5,99999980.12360516,99999982.0,99999998.5,99999835.08744615,99999825.66564822,99999876.66564822,99999867.5,99999845.5,99999888.73010352,99999826.24574216,99999864.15713254,99999878.87639484,99999843.15000959,100000039.24574216,100000016.5,100000016.5,100000016.5,100000016.5,100000016.5,100000016.5,100000039.24574216,100000001.5,100000039.24574216,99999969.86880392,99999641.0,100000055.11555745,99999886.63260596,99999424.0,100000585.0,100000665.25278968,100000568.5,100000675.37639484,100000263.75425784
99999640,99999655,99999760,100000015,100000480,99999790,100000345,100000285,99998859.81605619,100000255,100000509.03506707,100000601.88270923,100000531.53506707,100000571.93349518,100000610.93349518,100000513.43349518,100000561.43349518,100000226.98428112,100000540.43349518,100000390.43349518,100000006.74640845,100000015.0,99999998.5,99999961.05078594,100000021.74640845,99999962.55078594,99999962.55078594,100000016.5,100000005.24640845,100000015.0,99999573.89842811,99999554.34764217,99999584.34764217,99999528.89842811,99999498.89842811,99999563.39842811,99999600.84764217,99999630.84764217,99999518.39842811,99999531.89842811,100000044.94921406,100000038.94921406,100000043.44921406,100000015,100000044.94921406,100000043.44921406,100000038.94921406,100000038.94921406,100000038.94921406,100000044.94921406,99999841.51019646,100000369.20902587,100000328.0,99999936.94921406,100000590.40143228,99999706.5822237,99999730.5822237,99999981.13300964,99999814.37907992,99999615.18379559
99999670,99999655,99999565,100000210,99999245.86005114,99999850,100000375,99999715,99999842.31843776,99999670,100000088.5,100000091.5,100000088.5,100000069.0,100000079.5,100000082.5,100000100.5,100000126.0,100000082.5,100000757.09238553,99999982.0,99999979.0,99999980.5,99999983.5,99999982.02911532,99999983.5,99999980.5,99999983.5,99999979.0,99999977.5,99999810.97088468,99999821.47088468,99999824.5,99999844.0,99999825.97088468,99999846.97088468,99999889.0,99999859.0,99999836.47088468,99999827.5,100000001.5,100000016.5,100000001.5,100000016.5,100000015,100000016.5,100000001.5,100000001.5,100000001.5,100000001.5,99999743.5,100000009.0,99999132.09848388,100000253.9813882,99999713.82898499,100000732.26203787,100000667.5,100000817.5,100000781.67469192,100000514.5
99999580,99999910,100000600,100000465,100000933.56847948,100001473.30782245,100000333.49668628,100001239.02739422,99999775,99999520,99999441.45037873,100000006.95037873,99999936.70580801,99999949.9353844,99999937.91641153,100000098.52419943,99999765.70580801,100000087.25494835,100000059.74112655,99999947.26145075,99999913.18160859,99999913.18160859,99999913.18160859,99999913.18160859,99999913.18160859,99999913.18160859,99999913.18160859,100000012.25542928,99999913.18160859,100000012.25542928,99999847.80456962,99999847.80456962,99999847.80456962,99999862.80456962,99999847.80456962,99999862.80456962,99999862.80456962,99999877.80456962,99999847.80456962,99999847.80456962,100000178.64764139,100000097.5738207,99999985,100000099.0738207,100000092.27252236,100000000,100000092.27252236,100000112.5738207,100000000,100000081.0738207,100000818.07145299,100000929.06334908,99999219.13220502,100000264.91732636,100001472.93009382,99999149.15987284,99999041.94061863,99999250.7054174,99998979.09901436,99999192.63698024
100000810,99999775,100001463.75858286,100000435,99999700,99999580,100000000,99999910,99999520,100000872.5191793,99998860,99998830,99998815,99998830,99997900,99997900,99998845,99998785,99998860,99998890,100000083.64581609,100000067.14581609,100000083.64581609,100000168.45677575,100000070.72838788,100000070.72838788,100000164.29163218,100000070.72838788,100000067.14581609,100000164.87420397,99999777.31233346,99999777.31233346,99999792.31233346,99999829.7185002,99999842.13455461,99999760.81233346,99999777.31233346,99999747.31233346,99999777.31233346,99999792.31233346,100000000,100000000,99999985,99999985,99999985,100000000,99999985,99999985,100000000,100000000,100000234.60817042,100003256.10294673,100002594.2339847,100000427.70268352,100001410.65537211,100000969.20619081,100000996.22558802,100001073.71700564,100000446.10089411,100001199.92663938
99999505,100000045,99999227.46278477,99999790,100000000,99999925.8493476,100000060.08669022,99999418.66306184,99999370,100000120,100000286.82950604,100000301.37701765,100000233.20674889,100000223.14438178,100000153.89820118,100000296.43330535,100000254.28840354,100000296.66470775,100000225.65448159,100000201.21578434,99999983.5,99999982.0,99999965.43870986,99999982.69402139,99999982.0,99999965.43870986,99999983.5,99999982.0,99999983.5,99999983.5,99999932.49853586,99999916.21926913,99999900.08662379,99999936.2499331,99999900.08662379,99999901.58662379,99999918.08662379,99999937.2472844,99999916.66827844,99999886.58662379,100000016.5,100000016.5,100000016.5,100000016.5,100000016.58165465,100000016.5,100000016.58165465,100000045.65427385,100000016.5,100000016.5,99999974.28170316,99999638.38716523,99999971.84451136,99998943.5175648,99999559.1534807,100000361.28525229,100000660.66294749,100000873.24542117,100000414.1118709,100000535.53021625
100000240,99999850,99999820,100000000,99999775,99999565,99999835,99999610,99999760,100000105,100000151.29734187,100000148.1012571,100000134.79734187,100000178.29734187,100000146.80066626,100000178.29734187,100000149.80104318,100000194.68656333,100000158.79798387,100000173.79734187,99999982.0,99999983.5,99999983.5,99999983.5,99999983.5,99999983.5,99999983.5,99999982.0,100000000,99999983.5,99999955,99999955,99999955,99999955,99999955,100000012.0,99999955,99999955,99999955,99999955,100000001.5,100000001.5,100000016.5,100000001.5,100000016.5,100000001.5,100000016.5,100000001.5,100000016.5,100000016.5,100002953.79364753,99998516.5,99999775.0,99998153.5,99998044.01386613,100000451.05251764,100000703.90161495,100000507.40466592,100000446.7541485,100000727.90531626
99999880,99999700,100000015,99999297.2631649,100000030,99999503.41188267,99999745,99999493.86225367,99999910,99999910,100000300.7250913,100000254.38659841,100000235.88753167,100000203.10462224,100000402.32169652,100000425.035191,100000402.7415373,100000393.78642093,100000241.24187136,100000376.83352639,99999983.56263754,99999999.42763647,100000000.92763647,100000000.92763647,100000000.92763647,99999976.47351164,100000000.92763647,100000000.92763647,99999976.47351164,100000000.92763647,99999931.7105459,99999912.78290942,99999931.7105459,99999905.28290942,99999911.28290942,99999930.2105459,99999885.26612936,99999911.69376583,99999914.28290942,99999897.78290942,100000000,100000000,99999985,100000000,100000000,100000015,100000000,99999985,100000000,100000000,100001231.89311811,99999519.63002786,99999275.45792866,99999812.7093612,99998213.77389415,100000607.37194711,100000297.93641582,100000366.71932524,100000406.29168877,100000489.10570861
100000048.01179738,99999760,100000330,99999715,99999686.86469524,99999850,99999685,99999700,99999820,100000842.98040675,100000328.37601136,100000511.71125694,100000278.04898028,99999656.54363415,99999692.03828801,100000258.38135749,100000418.0794444,99999553.9118216,100000362.7059108,99999962.03828801,99999970.12646641,99999970.12646641,100000057.12646641,99999970.12646641,99999970.12646641,99999970.12646641,99999970.12646641,100000057.12646641,99999970.12646641,100000043.62646641,99999895,99999895,99999925,99999895,99999895,99999925,99999925,99999925,99999880,99999910,100000062.83237721,100000090.0,100000091.5,100000090.0,100000015,100000075.0,100000100.83772334,100000082.65218355,100000100.83772334,100000062.83237721,100000060,100000669.97197567,100000174.08329184,100000195.48885788,100002665.30832867,99999313.23430976,99999029.64861986,99999225.93566875,99999516.40517464,99998899.97483177
