0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
99999715,100000075,99999505,99999655,99995306.5,100003724.5,100003307.5,100004552.5,100004614.0,100005034.0,100000000,100000000,99999997.0,100000000,100000000,99999715,99999685,99999715,99999701.5,99999760,100000201.0,100000000,100000000,100000201.0,100000000,99998096.5,100000031.5,100000031.5,100001486.5,100000243.0,99997028.5,99997078.0,99996859.0,99997345.0,99997336.0
99999850,99999880,99999805,99999565,99999775,100000594.77588378,99999964.24494502,100000735.95857663,100000536.17557347,99999826.65472835,99999979.0,99999980.5,99999979.0,99999995.5,99999980.5,99999701.85434946,99999761.85434946,99999716.49397719,99999671.49397719,99999686.85434946,100000071.9969886,100000071.9969886,100000056.9969886,100000071.9969886,100000071.9969886,99997360,99999790,100000961.79726733,99999505,99999758.5,100000709.93996301,100000288.43996301,100000477.07025617,100000861.33362989,100000957.07326758
99999595,99999895,99999984.43580428,100000075,99999850,100001716.39035566,100001601.85164455,100002008.04520012,100001785.92906678,100001663.4677779,99999965.5,99999961.4360434,99999954.16627616,99999940.66627616,99999973.78279859,99999962.0,99999963.5,99999974.5,99999943.0,99999962.0,100000101.03871112,100000101.03871112,100000015,100000072.53871112,100000069.53871112,99999779.03871112,99999562.0,99999947.0,99999860.74830407,99999965.5,99998449.57093322,99998407.0322221,99998748.7848944,99998640.42791381,99998505.07093322
99999265,99999535,99999640,99999460,99999595,100000202.06350803,100000573.18938091,100000627.50371106,100000239.33206554,100000304.73417746,99999987.08357261,99999987.08357261,99999988.0,99999975.16777351,99999975.16777351,99999989.5,99999971.5,99999971.5,99999989.5,99999989.5,100000015,100000015,100000015,100000015,100000015,99999785.5,99999773.5,99999812.5,99999668.51475574,99999787.75,100000394.99545144,100000352.5,100000372.41342007,100000317.16793446,100000394.33290304
99999580,99999159.34558165,100000015,99999895,99999760,100001812.3375682,100001877.457705,100001860.63723995,100002079.82643193,100002097.39159127,99999919.42360502,99999895.01464519,99999895.01464519,99999896.51464519,99999895.01464519,99999864.57639498,99999864.57639498,99999864.57639498,99999864.57639498,99999864.57639498,100000061.07639498,100000061.07639498,100000061.07639498,100000059.94855063,100000061.07639498,99999812.43267104,100000160.52566126,100000879.05959086,100000072.0,99999976.0,99998587.0087138,99998232.79140626,99998459.59407693,99998320.2637601,99998235.20971057
100000015,99999880,99999745,99999442.66025333,99999865,100000951.04835792,100000843.3858192,100000838.86828196,100001097.7854019,100002017.49250251,100000000,99999932.0741911,99999932.0741911,100000000,100000000,99999823.05261171,99999907.36698718,99999940.43713613,99999842.40499863,99999821.16253872,100000016.5,100000016.5,100000015,100000016.51753724,100000016.51753724,99997712.5413347,100000033.94566853,99999288.5,99999359.5,99999326.26044597,99999713.36209673,100000272.54403186,99999842.57680516,100000194.73694146,100000280.18432975
99999589.16900857,99999865,99999730,99999850,99999625,100000571.57324113,100000445.10194585,100000467.47167768,100000435.697745,100000479.23183161,99999956.5,99999995.5,99999994.0,99999992.5,99999970.0,99999934.70585302,99999939.7480749,99999923.70585302,99999946.2480749,99999936.5,100000015,100000004.5,100000015,100000003.0,100000015,99998908.0,99999865.50770038,99999775.90542164,99999932.58829397,99999860.4209548,100000073.5,100000221.92675887,100000397.42675887,100000087.52832232,100000177.04248348
99999535,99999426.33086902,99998813.721873,100000135,100000090,100001428.96266969,100005457.63633282,100001603.7817867,100001590.2063273,100005215.78573549,99999982.0,99999948.06502043,99999949.56502043,99999933.4869541,99999946.56502043,99999750.57754852,99999784.38928603,99999776.51328458,99999801.93478237,99999750.66897132,100000008.12993602,100000023.12993602,100000023.12993602,100000011.12993602,100000026.12993602,99975745.82166527,100006630.05325918,100001566.51695058,100002690.72133057,100001620.90301389,99999874.03148451,99999960.24188454,100000024.6364941,99999922.19879934,99999953.0339557
99999790,99999760,100000000,99999490,99999715,100000889.5,100000973.0,100000861.5,100000980.5,100000985.0,99999982.0,99999982.0,99999982.5,99999982.5,99999982.5,99999945.5,99999945.5,99999949.5,99999945.5,99999945.5,100000017.5,100000016.5,100000018.0,100000015,100000016.5,99998309.5,99999206.5,99999067.0,99998983.0,99999016.0,100000240.0,100000455.5,100000469.0,100000626.5,100000456.0
99999580,99999820,99999985,99999535,99999820,100000390.34875302,100000343.4491761,100000286.42893864,100000425.14030519,100000640.64094406,99999977.5,99999982.75,99999985.13076578,99999977.5,99999973.0,99999928.0,99999941.5,99999941.5,99999959.5,99999959.5,100000018.0,100000018.0,100000015,100000018.0,100000023.30229813,99997915.11196126,99999758.5,99999913.75,99999970.65411364,99999863.5,100000274.05774538,100000400.0215587,100000489.50990225,100000338.95826356,100000531.74527428
99999850,99999745,99999595,99998503.6356674,99999745,100001422.7061437,100001305.40407836,100001081.30177659,100001067.61509672,100001305.26031429,99999925.52343811,99999941.5799214,99999932.03255785,100000000,99999982.28489003,99999924.44356148,99999896.81609786,99999920.96396196,99999943.46396196,99999895.83953597,100000061.12442599,100000062.62442599,100000061.12442599,100000015,100000000,99999694.0,100000021.17875966,99999871.26811978,99998950.70363292,99999941.69094664,99999660.75383177,99999720.21375789,99999669.05399518,99999671.63884275,99999615.75383177
99999745,99999265,99999520,99999492.9393214,99999895,99999191.7659932,99999359.76599115,100000158.54002142,99999279.7946734,99999317.50264364,99999968.75697105,100000043.75697105,99999970.25697105,99999973.25738169,99999986.75697105,100000013.45802252,100000023.95843317,100000008.95843317,100000041.95514822,100000023.95843317,100000000,100000000,100000029.68973053,100000029.68973053,100000029.68973053,100000470.80860785,100000584.08972579,100000495,100000462.0,100000598.5,100000281.20818639,100000317.6748175,100000568.73846844,100000448.42107816,100000404.10754398
99999550,99999115,99999610,99999640,99999700,100000731.825332,100000770.06507172,100000495.88886276,100000419.93320331,100000545.3948061,99999963.4443778,99999979.5,99999977.5,99999948.90566753,99999980.5,99999948.5,99999923.0,99999902.0,99999905.0,99999903.5,100000019.5,100000015,100000019.5,100000015,100000019.5,99999418.03791335,99999825.5,99999666.05654532,99999696.89446759,99999534.09414025,100000312.50089079,100000402.97271544,100000363.5675304,100000388.91758487,100000293.00089079
99999685,99998737.75462046,100000075,99999565,100000030,99999766.13132958,100000255.94512002,99999825.38322023,100000318.13511087,100000151.63132958,99999990.54239313,99999997.0,99999966.09104049,99999964.59104049,99999979.59104049,99999806.5,99999838.0,99999844.52419923,99999831.02419923,99999784.52419923,100000015,100000000,100000015,100000000,100000015,100000204.8152866,100000065.98321737,100000127.37250386,100000219.90895951,100000132.53895952,100000427.32420713,100000283.39842853,100000299.83311756,100000602.46700785,100000178.98946902
100000535.65656911,100000958.18686178,99999430,99999730,100001292.68686178,99994356.53029267,99994628.59087802,99994685.74744713,99994537.71715446,99994380.21715446,99999977.34343089,99999977.34343089,100000013.5,99999955.0,99999977.34343089,99999823.0,99999838.0,99999838.0,99999823.0,99999838.0,99999985,100000000,99999985,99999985,100000000,100004470,100004815,100005190,100005219.84343089,100005100,100000167.19196752,100000537.31313822,100000303.15656911,100000384.3788293,100000262.25255287
99999507.18814875,99999640,99999730,99999670,99999640,100000175.70579937,100000227.08851723,100000174.0048933,100000420.89601944,100000242.08851723,99999979.0,99999975.78447306,99999982.0,99999979.0,99999980.5,100000009.56311166,100000024.18933499,100000007.12622333,100000011.62622333,100000018.18933499,100000000,100000001.5,100000001.5,100000001.5,100000001.5,100000145.99799094,99999841.0,100000043.0,100000027.99419507,100000069.0,100000150.34871599,100000049.12133002,100000115.12133002,100000088.9076229,100000069.55821836
99999910,100000613.5,99999490,99999610,99999550,99997795,99997810,99998755,99998635,99998740,100000000,100000000,100000000,100000000,100000000,99999940,99999940,99999940,99999940,99999940,100000027.0,100000027.0,100000013.5,100000012.0,100000013.5,99999940,100000285.0,100000256.5,100000813.0,100000136.5,100001318.5,100001555.5,100001314.0,100001365.0,100002314.5
