0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
99999655,99999775,100000329.16990247,100000060,99999520,99999820,100000000,100000240,100000075,99999820,99999038.33889449,99999969.03622523,99999709.66227111,99999888.60751009,99999047.33889449,100000022.33889449,99999174.72459583,100000018.76182704,99999946.99321143,99999482.22459583,99999915.42871514,99999915.42871514,99999915.42871514,99999915.42871514,99999915.42871514,99999915.42871514,99999915.42871514,99999915.42871514,99999915.42871514,99999915.42871514,100000050.64256972,99999967.57128486,100000017.64256972,99999982.57128486,100000035.64256972,100000037.14256972,99999967.57128486,99999967.57128486,100000035.64256972,99999967.57128486,100000071.7686156,100000066.57128486,100000086.7686156,100000086.7686156,100000066.57128486,100000071.7686156,100000016.5,100000086.7686156,100000086.7686156,100000081.57128486,100000568.74543284,100002430.1279838,100001476.63194317,100003023.62832068,100000463.03174469,99999853.65213323,99998913.64518769,99999293.86044821,99999244.00884736,99999234.78916335
100000360,99999400,100000570,100000435,99999880,100000585,99999865,99999893.46861058,99999730,99999921.56376538,99999366.68557754,99999562.64310583,99999467.0594122,99999419.18557754,99999435.60665128,99999419.18557754,99999498.60241985,99999363.68557754,99999320.18557754,99999348.68557754,100000018.0,100000000.0,100000002.99742915,100000000.0,100000018.0,99999998.85717504,100000000.0,100000018.0,100000000.0,99999998.5,99999922.06719701,99999948.86967304,99999979.15451775,99999853.18061323,99999884.52640511,99999915.44281696,99999961.77686691,99999912.67145284,99999954.45437515,99999914.68860775,100000015,100000000,100000000,100000000,100000000,100000000,100000015,100000015,100000000,100000000,99999841.93614234,100000915.30866061,100000475.5,99996459.1843584,99999970.86805595,100001354.5,100001965.9639653,100001481.18179816,100001406.18179889,100001941.63066003
100000150,99999955,99999850,99999700,99999775,99999436.93885106,99999208.68946369,100000345,99999700,100000315,99999856.75440623,99999805.61773916,99999841.75440623,99999927.51305935,99999691.75440623,99999638.60518211,99999762.72400618,100000007.85852991,99999891.98321542,99999686.22401625,100000021.33621301,100000003.13666707,99999996.54460545,100000003.71325326,99999996.93823239,99999996.54460545,100000027.79719342,99999993.64683828,100000013.49998623,99999988.13666707,99999868.53885578,99999845.0,99999810.25862247,99999853.0,99999854.5,99999846.72489546,99999839.5,99999854.5,99999854.5,99999838.0,100000052.24079075,100000040.64356624,100000052.24079075,100000052.24079075,100000037.24079075,100000046.78023331,100000052.24079075,100000052.24079075,100000052.24079075,100000040.64356624,100000971.12098053,100000183.46385472,100000122.57231614,100000508.5,100000281.0023889,100000391.90696976,100000689.99999371,100000608.88281114,100000367.14240137,100000344.42146553
100000090,99999801.12942424,99999940,99999535,100000315,99999756.93197082,100000285,99999602.54635589,99999610,99999940,99999497.01845667,100000114.777685,99999918.51845667,100000110.51845667,99999940.53691334,99999330.277685,100000108.777685,99999362.78607035,100000120.53691334,100000119.03691334,99999976.24074577,99999974.74077167,99999974.74077167,99999976.24074577,99999974.74077167,99999974.74077167,99999974.74077167,99999974.74077167,99999974.74077167,99999983.5,99999845.25922833,99999808.0,99999831.75922833,99999830.25922833,99999845.25922833,99999806.5,99999801.75922833,99999860.25922833,99999815.25922833,99999815.25922833,100000007.25922833,100000022.25922833,100000016.5,100000016.5,100000016.5,100000016.5,100000016.5,100000016.5,100000016.5,100000016.5,99999499.0,99999859.65683421,99999984.0610619,100001242.0,100000400.71168011,100000665.98126331,100001099.78850928,100000481.20385833,100000519.722315,100000569.222315
99999730,100000180,99999865,100000105,99999700,99999835,99999670,99999695.2305457,99999910,100000300,100000097.5,100000135.40778172,100000135.40778172,100000302.65418145,100000120.40778172,100000116.93083629,100000103.5,100000142.90778172,100000111.0,100000144.0,99999978.52305457,99999980.02305457,100000000,100000000,99999979.0,99999983.5,100000000,99999978.52305457,99999982.0,99999980.5,99999989.97694543,99999970.47694543,99999991.47694543,99999973.47694543,99999989.97694543,99999970.47694543,99999971.97694543,99999989.97694543,99999970.47694543,99999970.47694543,100000001.5,100000016.5,100000016.5,100000001.5,100000001.5,100000016.5,100000016.5,100000016.5,100000001.5,100000016.5,99999475.0,99999296.5,99999022.0,99999530.5,99999647.5,100000497.66138199,100000696.27665484,100000391.5,100000578.11527285,100000709.16138199
99999850,99999985,100000180,99999182.68016532,99999128.46472012,99997683.5681613,99999535,99999775,99999820,99999425.85825598,99999890.75719866,100000106.46376465,99999564.33859771,99999539.71479024,99999519.10383992,99999664.85444951,100000272.92364664,99999590.60862193,100000075.08782013,99999654.39803106,100000025.47991137,100000008.41437119,99999964.91463278,100000008.41437119,100000026.97991137,100000027.8126702,100000010.64164227,100000008.41437119,100000013.5,100000012.10298733,99999909.09865057,99999897.09865057,99999895.59865057,99999892.59865057,99999909.09865057,99999879.09865057,99999894.09865057,99999909.09865057,99999910.59865057,99999894.09865057,100000015,100000052.09689525,100000015,100000000,100000000,100000052.09689525,100000015,100000070.99325398,100000022.09865057,100000067.09865057,100000932.72813891,100000298.8343222,100002915.88735987,100003000.25157104,100001428.43776526,99999970.20966214,99999888.72083883,99999830.14863212,99999918.91776915,99999965.49615704
99999640,99999696.52415879,100000435,100000180,99999580,99999679.9580201,99999865,99999715,100000075,100000270,100000343.98395042,100000362.94684695,100000319.12013784,100000377.40703028,100000283.71539868,100000358.44684695,100000318.8515861,100000391.81414539,100000443.16734748,100000336.21917102,99999998.5,99999983.5,99999998.5,99999979.75702715,99999998.5,99999998.5,99999997.26855174,99999997.0,99999977.22781518,99999998.5,99999888.87857339,99999900.19434479,99999882.19434479,99999884.92579305,99999868.96289653,99999873.19434479,99999868.96289653,99999868.96289653,99999891.61002165,99999882.19434479,100000016.5,100000016.5,100000031.8267091,100000016.5,100000026.73144826,100000016.5,100000025.23144826,100000016.5,100000031.8267091,100000002.73144826,99999219.86273794,99999806.5,99999380.5,99998162.2661623,99999335.5,100000380.03209916,100000567.85880826,100000413.35880826,100000642.55868623,100000481.22644395
99999854.31260383,99999805.82487307,99999595,99999940,99999760,100000075,99999895,99999730,99999955,99999769.29341628,100000118.39638919,100000131.80024414,100000150.09944686,100000233.29565236,100000176.42038333,100000095.23363444,100000186.92709187,100000208.85096014,100000120.14994135,100000116.43669212,99999960.7994851,99999973.99172382,99999983.5,99999960.7994851,99999977.41234282,99999974.04030293,99999959.6493185,99999959.6493185,99999960.7994851,99999974.04030293,99999908.98834114,99999929.98834114,99999929.98834114,99999931.54457186,99999920.8868123,99999920.8868123,99999938.98834114,99999929.98834114,99999929.29050282,99999922.48834114,100000016.60152884,100000016.60152884,100000000,100000016.60152884,100000016.5,100000001.60152884,100000016.5,100000016.60152884,100000016.60152884,100000016.60152884,99999701.36267737,99999913.1641588,100000017.97065228,99999305.07681908,99999682.83442612,100000692.95956951,100000360.61068195,100000358.70995039,100000612.4362991,100000355.90222363
99999505,100000150,99999700,100000630,100000208.86178218,100000075,99999697.39099774,100000330,100000345,100000240,100000481.46254298,100000577.61774388,100000740.74138275,100000379.00881088,100000678.04245274,100000414.47724885,100000623.35552408,100000763.40100361,100000758.43777397,100000585.11286496,99999872.42009024,99999872.42009024,99999888.92009024,99999902.76064737,99999935.50142814,99999980.5,99999872.42009024,99999872.42009024,99999891.14242491,99999935.50142814,99999578.65266211,99999577.15266211,99999548.65266211,99999508.0,99999578.65266211,99999608.65266211,99999601.30532423,99999608.65266211,99999593.65266211,99999593.65266211,100000015,100000112.5822499,100000070.65266211,100000054.15266211,100000015,100000055.65266211,100000015,100000070.65266211,100000054.15266211,100000015,100000278.5,99999435.34749499,100000846.79603572,100000226.50253879,100001105.80708368,99999261.39613442,99999330.7069006,99999416.48113208,99998985.09039022,99998931.58359952
100000075,100000090,100000075,99999940,99999895,99999670,99999655,100000000,99999805,99999385,100000412.5,100000435.1166221,100000436.04791212,100000570.5,100000429.0,100000527.5,100000487.5,100000484.5,100000423.1166221,100000433.5,99999983.5,99999983.5,99999983.5,99999983.5,99999982.0,99999983.5,99999983.5,99999981.0,99999982.0,99999983.5,99999985,99999985,99999989.0,99999985,99999989.0,99999985,99999985,99999989.0,99999985,99999989.0,100000016.5,100000016.5,100000000,100000016.5,100000016.5,100000016.5,100000016.5,100000016.5,100000016.5,100000000,99999280.0,99999221.5,99997787.26675579,99998563.0,99998342.95208788,100001111.5,100000760.5,100000496.5,100000591.5,100000788.5
